,place_city,place_region,place_city_en,place_region_area,place_region_pop_2018,place_region_pop_2018_density,place_region_area_perc,place_region_vrp_2016,place_region_pop_2017,place_region_pop_2016,place_region_pop_diff_2017_2016,place_region_pop_diff_n_2017_2016,place_region_pop_diff_m_2017_2016,place_region_wage_2016,place_region_wage_2017,place_region_wage_2018,place_region_wage_diff_2018_2017,place_region_wage_diff_2017_2016,place_is_region_capital,place_region_pop_2017_density,place_region_pop_2016_density,place_region_pop_diff_2018_2017,place_city_lat,place_city_lon
712,Ивантеевка,Московская область,ZELENYY BOR,44329.0,7503385.0,169.3,0.259,3565.3,7423470.0,7318647.0,104823.0,1082.0,103741.0,39593.0,42751.0,46409.5,3658.5,3158.0,0,167.5,165.1,79915.0,55.97141,37.920074
713,Балашиха,Московская область,ZHELEZNODORO,44329.0,7503385.0,169.3,0.259,3565.3,7423470.0,7318647.0,104823.0,1082.0,103741.0,39593.0,42751.0,46409.5,3658.5,3158.0,0,167.5,165.1,79915.0,55.803622,37.964649
714,Балашиха,Московская область,ZHELEZNODOROZHN,44329.0,7503385.0,169.3,0.259,3565.3,7423470.0,7318647.0,104823.0,1082.0,103741.0,39593.0,42751.0,46409.5,3658.5,3158.0,0,167.5,165.1,79915.0,55.803622,37.964649
715,Жуков,Калужская область,ZHUKOV,29777.0,1012156.0,34.0,0.174,373.4,1014570.0,1009772.0,4798.0,-2958.0,7756.0,28515.0,30281.3,34182.0,3900.7,1766.3,0,34.1,33.9,-2414.0,55.0338,36.7489
716,Зима,Иркутская область,ZIMA G,774846.0,2404195.0,3.1,4.525,1068.7,2408901.0,2412800.0,-3899.0,3247.0,-7146.0,32684.1,34262.5,37959.6,3697.1,1578.4,0,3.1,3.1,-4706.0,53.928402,102.052727
717,Ак-Довурак,Республика Тыва,AK-DOVURAK,168604.0,321722.0,1.9,0.985,52.2,318550.0,315637.0,2913.0,4256.0,-1343.0,27289.7,27698.9,30713.3,3014.4,409.2,0,1.9,1.9,3172.0,51.174081,90.599991
718,Аксай,Ростовская область,AKSAY,100967.0,4220452.0,41.8,0.59,1270.9,4231355.0,4236000.0,-4645.0,-9680.0,5035.0,23402.7,25431.6,27594.2,2162.6,2028.9,0,41.9,42.0,-10903.0,47.268696,39.861362
719,Алейск,Алтайский край,ALEYSK,167996.0,2350080.0,14.0,0.981,498.8,2365680.0,2376774.0,-11094.0,-4622.0,-6472.0,19209.2,20301.8,22546.1,2244.3,1092.6,0,14.1,14.1,-15600.0,52.497022,82.773076
720,Алейск,Алтайский край,ALEYSK G,167996.0,2350080.0,14.0,0.981,498.8,2365680.0,2376774.0,-11094.0,-4622.0,-6472.0,19209.2,20301.8,22546.1,2244.3,1092.6,0,14.1,14.1,-15600.0,52.497022,82.773076
721,Александров,Владимирская область,ALEKSANDROV,29084.0,1378337.0,47.4,0.17,392.1,1389599.0,1397168.0,-7569.0,-7293.0,-276.0,23083.6,24681.3,27938.7,3257.4,1597.7,0,47.8,48.0,-11262.0,56.396229,38.71111
722,Анжеро-Судженск,Кемеровская область,ANZHERO-SUDZ,95725.0,2694877.0,28.2,0.559,858.1,2708844.0,2717627.0,-8783.0,-6168.0,-2615.0,27669.0,30129.0,33384.2,3255.2,2460.0,0,28.3,28.4,-13967.0,56.077808,86.019356
723,Апрелевка,Московская область,APRELEVKA G,44329.0,7503385.0,169.3,0.259,3565.3,7423470.0,7318647.0,104823.0,1082.0,103741.0,39593.0,42751.0,46409.5,3658.5,3158.0,0,167.5,165.1,79915.0,55.54542,37.072945
724,Арамиль,Свердловская область,ARAMIL G,194307.0,4325256.0,22.3,1.135,1978.1,4329341.0,4330006.0,-665.0,-991.0,326.0,29961.9,32256.5,33809.4,1552.9,2294.6,0,22.3,22.3,-4085.0,56.695465,60.850454
725,Арзамас,Нижегородская область,ARZAMAS,76624.0,3234752.0,42.2,0.447,1182.3,3247713.0,3260267.0,-12554.0,-11420.0,-1134.0,24958.7,26727.2,28980.1,2252.9,1768.5,0,42.4,42.5,-12961.0,55.398946,43.840813
726,Архангельск,Архангельская область (без округа),ARCHANGELSK,413103.0,1111031.0,2.7,2.412,427.9,1121813.0,1130240.0,-8427.0,-2161.0,-6266.0,35851.4,37493.4,41783.6,4290.2,1642.0,1,2.7,2.7,-10782.0,64.543022,40.537121
727,Аткарск,Саратовская область,ATKARSK,101240.0,2462950.0,24.3,0.591,655.1,2479260.0,2487529.0,-8269.0,-7705.0,-564.0,21676.6,22609.6,25275.1,2665.5,933.0,0,24.5,24.6,-16310.0,51.882442,45.012573
728,Бавлы,Республика Татарстан,BAVLY,67847.0,3894284.0,57.4,0.396,1937.6,3885253.0,3868730.0,16523.0,10643.0,5880.0,27988.3,29299.8,32164.8,2865.0,1311.5,0,57.3,57.0,9031.0,54.403087,53.235702
729,Бакал,Челябинская область,BAKALY,88529.0,3493036.0,39.5,0.517,1260.7,3502323.0,3500716.0,1607.0,-1068.0,2675.0,29158.3,29263.7,32959.5,3695.8,105.4,0,39.6,39.5,-9287.0,54.936657,58.810249
730,Балахна,Нижегородская область,BALACHNA,76624.0,3234752.0,42.2,0.447,1182.3,3247713.0,3260267.0,-12554.0,-11420.0,-1134.0,24958.7,26727.2,28980.1,2252.9,1768.5,0,42.4,42.5,-12961.0,56.48705,43.603955
731,Барабинск,Новосибирская область,BARABINSK G,177756.0,2788849.0,15.7,1.038,1084.6,2779555.0,2762237.0,17318.0,2034.0,15284.0,26602.7,30165.0,32862.9,2697.9,3562.3,0,15.6,15.5,9294.0,55.356761,78.350348
732,Белая Калитва,Ростовская область,BELAYA KALIT,100967.0,4220452.0,41.8,0.59,1270.9,4231355.0,4236000.0,-4645.0,-9680.0,5035.0,23402.7,25431.6,27594.2,2162.6,2028.9,0,41.9,42.0,-10903.0,48.175178,40.790212
733,Белебей,Республика Башкортостан,BELEBEY,142947.0,4063293.0,28.4,0.835,1344.4,4066972.0,4071064.0,-4092.0,3298.0,-7390.0,24921.8,26899.8,30190.2,3290.4,1978.0,0,28.5,28.5,-3679.0,54.106495,54.107811
734,Белёв,Тульская область,BELEV,25679.0,1491855.0,58.1,0.15,517.7,1499417.0,1506446.0,-7029.0,-10251.0,3222.0,26723.7,28564.2,31840.0,3275.8,1840.5,0,58.4,58.7,-7562.0,53.811798,36.137001
735,Белореченск,Краснодарский край,BELORECHENSK,75485.0,5603420.0,74.2,0.441,2015.9,5570945.0,5513804.0,57141.0,1436.0,55705.0,25233.2,27211.5,30617.1,3405.6,1978.3,0,73.8,73.0,32475.0,44.761415,39.871294
736,Березники,Пермский край,BEREZNIKI,160236.0,2623122.0,16.4,0.936,1091.3,2632097.0,2634409.0,-2312.0,889.0,-3201.0,27347.0,29522.2,32009.0,2486.8,2175.2,0,16.4,16.4,-8975.0,59.408417,56.803696
